Date,Price,GDP,netimport,EV,EG,carbon,crude,gas,temp,precip,wind
2019-11-03,36.13,52975.61713502277,-25.853593969209573,17.12129382336039,167.19701730813821,25.090173237765654,61.54551863678083,2.7902376079601376,3.4,2.184902735019694,16.5866021062153
2019-11-04,40.17,52968.445805972115,-25.84932509335068,17.17711065115445,167.17997860535655,24.93,62.130001068115234,2.821000099182129,2.3,2.195432820764172,16.56143106392069
2019-11-05,42.61,52961.246344790365,-25.845039471282746,17.23304814266946,167.16287306210268,25.8,62.959999084472656,2.861999988555908,0.8,2.2059836445212153,16.541298463105434
2019-11-06,52.65,52954.01923236864,-25.84073738926576,17.28910549229054,167.1457018209487,25.18,61.7400016784668,2.828000068664551,0.4,2.2165599071721163,16.526247848907495
2019-11-07,46.48,52946.764949598066,-25.836419133559716,17.345281894402806,167.1284660244668,24.86,62.290000915527344,2.7720000743865967,0.6,2.2271663095981626,16.516322766464807
2019-11-08,46.8,52939.48397736978,-25.832084990424583,17.401576543391375,167.11116681522913,24.879511322943966,62.5099983215332,2.7890000343322754,4.6,2.2378075526806462,16.511566760915336
2019-11-09,41.69,52932.1767965749,-25.827735246120348,17.457988633641367,167.09380533580796,25.07239377238082,62.12768536799571,2.7632776718079755,3.8,2.248488337300857,16.512023377397018
2019-11-10,41.71,52924.84388810457,-25.823370186907,17.514517359537894,167.07638272877534,25.246579335627267,62.22806352471567,2.6858842522428503,1.0,2.2592133643400865,16.517736161047814
2019-11-11,43.65,52917.48573284991,-25.818990099044516,17.571161915466078,167.0589001367035,25.21,62.18000030517578,2.63700008392334,1.4,2.2699873346796244,16.528748657005668
2019-11-12,41.08,52910.10281170206,-25.81459526879288,17.62792149581103,167.04135870216467,24.95,62.060001373291016,2.621000051498413,5.6,2.2808149492007606,16.545104410408527
2019-11-13,41.31,52902.695605552144,-25.81018598241208,17.684795294957873,167.02375956773096,24.615353574867598,62.369998931884766,2.5999999046325684,5.1,2.291700908784786,16.566846966394348
2019-11-14,42.8,52895.26459529129,-25.805762526162095,17.741782507291717,167.00610387597456,24.28,62.27999877929688,2.6470000743865967,3.9,2.3026499143129913,16.594019870101082
2019-11-15,40.88,52887.810261810635,-25.801325186302915,17.798882327197685,166.98839276946765,23.946471881663115,63.29999923706055,2.687999963760376,3.4,2.3136666666666668,16.62666666666667
2019-11-16,39.27,52880.333086001294,-25.796874249094515,17.856093949060888,166.9706273907824,23.635554371002133,62.748776828031176,2.6829204129885635,6.3,2.325214417975506,16.664793834540585
2019-11-17,38.35,52872.83354875442,-25.79241000079688,17.913416567266452,166.95280888249098,23.42935967484009,62.812221681759425,2.6323935779805177,7.5,2.3377087628915922,16.708259585418347
2019-11-18,41.49,52865.312130961116,-25.787932727669997,17.970849376199485,166.9349383871656,23.41,62.43999862670898,2.565999984741211,6.8,2.3510829160798017,16.756885064307
2019-11-19,40.4,52857.76931351253,-25.783442715973855,18.02839157024511,166.91701704737838,23.62,60.90999984741211,2.509999990463257,7.8,2.3652700922050096,16.810491416213583
2019-11-20,43.35,52850.20557729979,-25.77894025196842,18.086042343788435,166.89904600570154,23.791387445021993,62.400001525878906,2.559000015258789,7.4,2.3802035059320907,16.868899786145136
2019-11-21,41.46,52842.62140321403,-25.774425621913696,18.143800891214585,166.88102640470723,23.96,63.970001220703125,2.566999912261963,6.7,2.3958163719259216,16.931931319108696
2019-11-22,39.63,52835.01727214637,-25.769899112069652,18.201666406908675,166.86295938696765,24.118879974326063,63.38999938964844,2.664999961853028,5.2,2.412041904851377,16.999407160111303
2019-11-23,37.15,52827.39366498794,-25.765361008696278,18.259638085255816,166.84484609505498,24.263273427471116,63.01100447259582,2.6870262241278198,4.2,2.428813319373332,17.071148454160006
2019-11-24,37.87,52819.751062629875,-25.760811598053554,18.317715120641136,166.82668767154135,24.396030166880617,63.01792686173063,2.6140728998015925,3.6,2.4460638301566626,17.14697634626184
2019-11-25,42.4,52812.08994596331,-25.75625116640147,18.375896707449744,166.80848525899896,24.52,63.650001525878906,2.5309998989105225,3.5,2.463726651866245,17.226711981423847
2019-11-26,44.79,52804.41079587937,-25.75168,18.434182040066762,166.79023999999998,24.29,64.2699966430664,2.470000028610229,4.8,2.481734999166953,17.31017650465306
2019-11-27,41.52,52796.71409326918,-25.747098385109137,18.492570312877298,166.77195303711662,24.60759644971865,64.05999755859375,2.500999927520752,6.1,2.500022086723663,17.397191060956526
2019-11-28,40.4,52789.00031902388,-25.742506607988854,18.551060720266477,166.75362551292102,24.91,63.01687250935318,2.4118273187933617,6.6,2.51852112920125,17.487576795341276
2019-11-29,39.9,52781.26995403458,-25.737904954899143,18.609652456619415,166.73525856998538,24.896635147601476,62.43000030517578,2.2809998989105225,-0.8,2.53716534126459,17.581154852814368
2019-11-30,38.58,52773.52347919244,-25.733293712099986,18.668344716321226,166.71685335088182,24.845064575645758,63.02728769778555,2.2254056586321935,-2.0,2.5558879375785573,17.677746378382825
2019-12-01,38.81,52765.76137538857,-25.728673165851365,18.72713669375703,166.6984109981826,24.75346171586716,63.04358166352096,2.24383162899129,-1.9,2.5746221328080283,17.7771725170537
2019-12-02,40.72,52757.9841235141,-25.72404360241326,18.78602758331194,166.6799326544598,24.62,62.400001525878906,2.3289999961853027,-2.6,2.5933011416178786,17.879254413834026
2019-12-03,39.95,52750.19220446017,-25.719405308045665,18.845016579371077,166.6614194622857,24.41,60.81999969482422,2.440999984741211,-0.9,2.611858178672983,17.983813213730844
2019-12-04,37.81,52742.386099117895,-25.714758569008552,18.904102876319552,166.6428725642324,24.438682929391987,63.0,2.3989999294281006,3.5,2.6302264586382176,18.090670061751194
2019-12-05,35.69,52734.566288378424,-25.71010367156191,18.963285668542486,166.6242931028721,24.5,63.38999938964844,2.427000045776367,6.1,2.648339196178457,18.19964610290211
2019-12-06,34.23,52726.73325313288,-25.705440901965723,19.022564150424994,166.605682220777,24.493132836578877,64.38999938964844,2.3340001106262207,6.4,2.6661296059585764,18.310562482190647
2019-12-07,33.53,52718.887474272386,-25.700770546479976,19.0819375163522,166.5870410605192,24.449110044830483,63.455852170168676,2.2560234699054296,4.6,2.683530902643453,18.423240344623835
2019-12-08,30.86,52711.029432688076,-25.696092891364643,19.141404960709206,166.56837076467093,24.405532230666854,63.5959446037552,2.2228830577808028,3.0,2.700476300897961,18.537500835208718
2019-12-09,31.45,52703.159609271075,-25.69140822287972,19.200965677881147,166.54967247580439,24.4,64.25,2.2320001125335693,5.2,2.7168990153869754,18.653165098952336
2019-12-10,39.39,52695.278484912524,-25.68671682728518,19.260618862253125,166.5309473364917,24.98,64.33999633789062,2.263999938964844,-2.6,2.732732260775372,18.77005428086172
2019-12-11,32.79,52687.38654050355,-25.68201899084102,19.320363708210266,166.51219648930507,24.804366592239106,63.720001220703125,2.243000030517578,3.5,2.747909251728027,18.887989525943922
2019-12-12,37.06,52679.484256935284,-25.677314999807205,19.38019941013768,166.49342107681667,24.62,64.19999694824219,2.328000068664551,3.4,2.7623632029098144,19.006791979205982
2019-12-13,36.21,52671.57211509885,-25.672605140443736,19.440125162420493,166.47462224159867,24.49809412350598,65.22000122070312,2.2960000038146973,3.5,2.7760273289856108,19.126282785654936
2019-12-14,33.9,52663.65059588537,-25.667889699010583,19.500140159443806,166.45580112622326,24.371916998671978,64.89446459122213,2.2894673267758123,3.8,2.7888348446202915,19.246283090297815
2019-12-15,32.79,52655.720180186,-25.663168961767738,19.560243595592752,166.4369588732626,24.26728137450199,65.16941877206477,2.3283398452410746,3.9,2.8007189644787314,19.366614038141677
2019-12-16,38.9,52647.78134889184,-25.658443214975183,19.620434665252443,166.41809662528888,24.21,65.33999633789062,2.3410000801086426,3.5,2.8116129032258064,19.48709677419355
2019-12-17,38.09,52639.834582894044,-25.653712744892896,19.680712562807997,166.39921552487422,24.187215903146964,66.0999984741211,2.319000005722046,4.2,2.8151743082275633,19.607575434830746
2019-12-18,37.81,52631.88036308373,-25.64897783778087,19.74107648264452,166.38031671459086,24.168598954137195,66.16999816894531,2.2860000133514404,2.5,2.8056818518999997,19.727986121911616
2019-12-19,36.99,52623.919170352034,-25.64423877989908,19.801525619147142,166.361401337011,24.153752165294694,66.54000091552734,2.2730000019073486,0.4,2.7840002864829216,19.84828792866478
2019-12-20,35.98,52615.95148559007,-25.639495857507512,19.862059166700977,166.3424705347067,24.142278548943477,66.13999938964844,2.328000068664551,5.2,2.7509943642161314,19.96843994831886
2019-12-21,34.49,52607.977789688994,-25.634749356866152,19.92267631969114,166.32352545025023,24.133781117407548,66.85100710903615,2.3332295513752563,5.6,2.707528837339433,20.088401274102473
2019-12-22,35.63,52599.99856353993,-25.629999564234982,19.983376272502746,166.30456722621375,24.127862883010913,67.09682411155643,2.276547036521282,5.1,2.6544684580926297,20.20813099924425
2019-12-23,35.79,52592.014288033984,-25.62524676587398,20.044158219520913,166.28559700516942,24.124126858077585,66.38999938964844,2.21399998664856,4.6,2.5926779787155256,20.327588216972796
2019-12-24,35.65,52584.02544406231,-25.620491248043145,20.10502135513076,166.26661592968944,24.122176054931575,67.19999694824219,2.171999931335449,3.9,2.523022151447925,20.446732020516745
