region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV sales,Cars,BEV,2016,sales,1218
Denmark,Historical,EV sales,Cars,PHEV,2016,sales,572
Denmark,Historical,EV sales,Cars,PHEV,2017,sales,621
Denmark,Historical,EV sales,Cars,BEV,2017,sales,693
Denmark,Historical,EV sales,Cars,BEV,2018,sales,1545
Denmark,Historical,EV sales,Cars,PHEV,2018,sales,3126
Denmark,Historical,EV sales,Cars,PHEV,2019,sales,3884
Denmark,Historical,EV sales,Cars,BEV,2019,sales,5532
Denmark,Historical,EV sales,Cars,BEV,2020,sales,14227
Denmark,Historical,EV sales,Cars,PHEV,2020,sales,18240
Denmark,Historical,EV sales,Cars,PHEV,2021,sales,40694
Denmark,Historical,EV sales,Cars,BEV,2021,sales,24956
Finland,Historical,EV sales,Cars,BEV,2011,sales,30
Finland,Historical,EV sales,Cars,BEV,2012,sales,51
Finland,Historical,EV sales,Cars,PHEV,2012,sales,128
Finland,Historical,EV sales,Cars,PHEV,2013,sales,168
Finland,Historical,EV sales,Cars,BEV,2013,sales,50
Finland,Historical,EV sales,Cars,BEV,2014,sales,183
Finland,Historical,EV sales,Cars,PHEV,2014,sales,257
Finland,Historical,EV sales,Cars,PHEV,2015,sales,442
Finland,Historical,EV sales,Cars,BEV,2015,sales,243
Finland,Historical,EV sales,Cars,BEV,2016,sales,223
Finland,Historical,EV sales,Cars,PHEV,2016,sales,1207
Finland,Historical,EV sales,Cars,PHEV,2017,sales,2553
Finland,Historical,EV sales,Cars,BEV,2017,sales,502
Finland,Historical,EV sales,Cars,BEV,2018,sales,776
Finland,Historical,EV sales,Cars,PHEV,2018,sales,4932
Finland,Historical,EV sales,Cars,PHEV,2019,sales,5983
Finland,Historical,EV sales,Cars,BEV,2019,sales,1897
Finland,Historical,EV sales,Cars,PHEV,2020,sales,13231
Finland,Historical,EV sales,Cars,BEV,2020,sales,4245
Finland,Historical,EV sales,Cars,BEV,2021,sales,10151
Finland,Historical,EV sales,Cars,PHEV,2021,sales,20163
France,Historical,EV sales,Cars,BEV,2010,sales,187
France,Historical,EV sales,Cars,BEV,2011,sales,2630
France,Historical,EV sales,Cars,PHEV,2011,sales,96.16000366210938
France,Historical,EV sales,Cars,PHEV,2012,sales,601
France,Historical,EV sales,Cars,BEV,2012,sales,5661
France,Historical,EV sales,Cars,BEV,2013,sales,8781
France,Historical,EV sales,Cars,PHEV,2013,sales,834
France,Historical,EV sales,Cars,PHEV,2014,sales,2068
France,Historical,EV sales,Cars,BEV,2014,sales,10567
France,Historical,EV sales,Cars,BEV,2015,sales,17270
France,Historical,EV sales,Cars,PHEV,2015,sales,5677
France,Historical,EV sales,Cars,PHEV,2016,sales,7749
France,Historical,EV sales,Cars,BEV,2016,sales,21758
France,Historical,EV sales,Cars,BEV,2017,sales,25983
France,Historical,EV sales,Cars,PHEV,2017,sales,11614
France,Historical,EV sales,Cars,PHEV,2018,sales,15648
France,Historical,EV sales,Cars,BEV,2018,sales,31055
France,Historical,EV sales,Cars,BEV,2019,sales,42800
France,Historical,EV sales,Cars,PHEV,2019,sales,18549
France,Historical,EV sales,Cars,PHEV,2020,sales,74587
France,Historical,EV sales,Cars,BEV,2020,sales,110000
France,Historical,EV sales,Cars,BEV,2021,sales,170863
France,Historical,EV sales,Cars,PHEV,2021,sales,137800
Germany,Historical,EV sales,Cars,BEV,2010,sales,144
Germany,Historical,EV sales,Cars,BEV,2011,sales,1404
Germany,Historical,EV sales,Cars,PHEV,2011,sales,241
Germany,Historical,EV sales,Cars,PHEV,2012,sales,1157
Germany,Historical,EV sales,Cars,BEV,2012,sales,2214
Germany,Historical,EV sales,Cars,BEV,2013,sales,5311
Germany,Historical,EV sales,Cars,PHEV,2013,sales,1620
Germany,Historical,EV sales,Cars,PHEV,2014,sales,4390
Germany,Historical,EV sales,Cars,BEV,2014,sales,8347
Germany,Historical,EV sales,Cars,BEV,2015,sales,12081
Germany,Historical,EV sales,Cars,PHEV,2015,sales,11111
Germany,Historical,EV sales,Cars,PHEV,2016,sales,13290.48046875
Germany,Historical,EV sales,Cars,BEV,2016,sales,11321.51953125
Germany,Historical,EV sales,Cars,BEV,2017,sales,25065
Germany,Historical,EV sales,Cars,PHEV,2017,sales,29499
Germany,Historical,EV sales,Cars,PHEV,2018,sales,31442
Germany,Historical,EV sales,Cars,BEV,2018,sales,36062
Germany,Historical,EV sales,Cars,BEV,2019,sales,63281
Germany,Historical,EV sales,Cars,PHEV,2019,sales,45348
Germany,Historical,EV sales,Cars,PHEV,2020,sales,200469
Germany,Historical,EV sales,Cars,BEV,2020,sales,194474
Germany,Historical,EV sales,Cars,BEV,2021,sales,355961
Germany,Historical,EV sales,Cars,PHEV,2021,sales,325449
Greece,Historical,EV sales,Cars,BEV,2013,sales,3
Greece,Historical,EV sales,Cars,BEV,2014,sales,39
Greece,Historical,EV sales,Cars,BEV,2015,sales,55
Greece,Historical,EV sales,Cars,PHEV,2015,sales,22
Greece,Historical,EV sales,Cars,PHEV,2016,sales,56
Greece,Historical,EV sales,Cars,BEV,2016,sales,41
Greece,Historical,EV sales,Cars,BEV,2017,sales,53
Greece,Historical,EV sales,Cars,PHEV,2017,sales,138
Greece,Historical,EV sales,Cars,PHEV,2018,sales,226
Greece,Historical,EV sales,Cars,BEV,2018,sales,88
Greece,Historical,EV sales,Cars,BEV,2019,sales,190
Greece,Historical,EV sales,Cars,PHEV,2019,sales,290
Greece,Historical,EV sales,Cars,PHEV,2020,sales,1456
Greece,Historical,EV sales,Cars,BEV,2020,sales,679
Greece,Historical,EV sales,Cars,BEV,2021,sales,2176
Greece,Historical,EV sales,Cars,PHEV,2021,sales,4785
Iceland,Historical,EV sales,Cars,BEV,2010,sales,2
Iceland,Historical,EV sales,Cars,BEV,2012,sales,17
Iceland,Historical,EV sales,Cars,PHEV,2012,sales,9
Iceland,Historical,EV sales,Cars,PHEV,2013,sales,23
Iceland,Historical,EV sales,Cars,BEV,2013,sales,80
Iceland,Historical,EV sales,Cars,BEV,2014,sales,195
Iceland,Historical,EV sales,Cars,PHEV,2014,sales,29
Iceland,Historical,EV sales,Cars,PHEV,2015,sales,166
Iceland,Historical,EV sales,Cars,BEV,2015,sales,387
Iceland,Historical,EV sales,Cars,BEV,2016,sales,375
Iceland,Historical,EV sales,Cars,PHEV,2016,sales,780
Iceland,Historical,EV sales,Cars,PHEV,2017,sales,2181
Iceland,Historical,EV sales,Cars,BEV,2017,sales,847
Iceland,Historical,EV sales,Cars,BEV,2018,sales,784
Iceland,Historical,EV sales,Cars,PHEV,2018,sales,2868
Iceland,Historical,EV sales,Cars,PHEV,2019,sales,1734
Iceland,Historical,EV sales,Cars,BEV,2019,sales,914
Iceland,Historical,EV sales,Cars,BEV,2020,sales,2551
Iceland,Historical,EV sales,Cars,PHEV,2020,sales,2355
Iceland,Historical,EV sales,Cars,PHEV,2021,sales,4881
Iceland,Historical,EV sales,Cars,BEV,2021,sales,4268
India,Historical,EV sales,Cars,BEV,2010,sales,449
India,Historical,EV sales,Cars,BEV,2011,sales,1428
India,Historical,EV sales,Cars,BEV,2012,sales,191
India,Historical,EV sales,Cars,BEV,2013,sales,408
India,Historical,EV sales,Cars,BEV,2014,sales,1000
India,Historical,EV sales,Cars,BEV,2015,sales,450
India,Historical,EV sales,Cars,BEV,2016,sales,729
India,Historical,EV sales,Cars,BEV,2017,sales,918
India,Historical,EV sales,Cars,BEV,2018,sales,915
India,Historical,EV sales,Cars,BEV,2019,sales,681
India,Historical,EV sales,Cars,PHEV,2019,sales,7
India,Historical,EV sales,Cars,PHEV,2020,sales,43
India,Historical,EV sales,Cars,BEV,2020,sales,3122
India,Historical,EV sales,Cars,BEV,2021,sales,11698
India,Historical,EV sales,Cars,PHEV,2021,sales,41
Italy,Historical,EV sales,Cars,BEV,2010,sales,40
Italy,Historical,EV sales,Cars,BEV,2011,sales,113
Italy,Historical,EV sales,Cars,BEV,2012,sales,459
Italy,Historical,EV sales,Cars,BEV,2013,sales,794
Italy,Historical,EV sales,Cars,PHEV,2013,sales,182
Italy,Historical,EV sales,Cars,PHEV,2014,sales,336
Italy,Historical,EV sales,Cars,BEV,2014,sales,1040
Italy,Historical,EV sales,Cars,BEV,2015,sales,1396
Italy,Historical,EV sales,Cars,PHEV,2015,sales,738
Italy,Historical,EV sales,Cars,PHEV,2016,sales,1438.7099609375
Italy,Historical,EV sales,Cars,BEV,2016,sales,1382.2900390625
Italy,Historical,EV sales,Cars,BEV,2017,sales,2022
Italy,Historical,EV sales,Cars,PHEV,2017,sales,2864
Italy,Historical,EV sales,Cars,PHEV,2018,sales,4798
Italy,Historical,EV sales,Cars,BEV,2018,sales,4978
Italy,Historical,EV sales,Cars,BEV,2019,sales,10663
Italy,Historical,EV sales,Cars,PHEV,2019,sales,6471
Italy,Historical,EV sales,Cars,PHEV,2020,sales,27407
Italy,Historical,EV sales,Cars,BEV,2020,sales,32485
Italy,Historical,EV sales,Cars,BEV,2021,sales,67273
Italy,Historical,EV sales,Cars,PHEV,2021,sales,70739
Japan,Historical,EV sales,Cars,BEV,2010,sales,2442
Japan,Historical,EV sales,Cars,BEV,2011,sales,12607
Japan,Historical,EV sales,Cars,PHEV,2011,sales,15
Japan,Historical,EV sales,Cars,PHEV,2012,sales,10968
Japan,Historical,EV sales,Cars,BEV,2012,sales,13469
Japan,Historical,EV sales,Cars,BEV,2013,sales,14756
Japan,Historical,EV sales,Cars,PHEV,2013,sales,14122
Japan,Historical,EV sales,Cars,PHEV,2014,sales,16178
Japan,Historical,EV sales,Cars,BEV,2014,sales,16109
Japan,Historical,EV sales,Cars,BEV,2015,sales,10465
Japan,Historical,EV sales,Cars,PHEV,2015,sales,14188
Japan,Historical,EV sales,Cars,PHEV,2016,sales,9390
Japan,Historical,EV sales,Cars,BEV,2016,sales,15300
Japan,Historical,EV sales,Cars,BEV,2017,sales,18100
Japan,Historical,EV sales,Cars,PHEV,2017,sales,36000
Japan,Historical,EV sales,Cars,PHEV,2018,sales,23220
Japan,Historical,EV sales,Cars,BEV,2018,sales,26530
Japan,Historical,EV sales,Cars,BEV,2019,sales,21300
Japan,Historical,EV sales,Cars,PHEV,2019,sales,17600
Japan,Historical,EV sales,Cars,PHEV,2020,sales,14700
Japan,Historical,EV sales,Cars,BEV,2020,sales,14600
Japan,Historical,EV sales,Cars,BEV,2021,sales,21700
Japan,Historical,EV sales,Cars,PHEV,2021,sales,22596
Korea,Historical,EV sales,Cars,BEV,2010,sales,61
Korea,Historical,EV sales,Cars,BEV,2011,sales,274
Korea,Historical,EV sales,Cars,BEV,2012,sales,514
Korea,Historical,EV sales,Cars,BEV,2013,sales,598
Korea,Historical,EV sales,Cars,BEV,2014,sales,1257
Korea,Historical,EV sales,Cars,BEV,2015,sales,3051
Korea,Historical,EV sales,Cars,PHEV,2015,sales,252
Korea,Historical,EV sales,Cars,PHEV,2016,sales,331
Korea,Historical,EV sales,Cars,BEV,2016,sales,4685
Korea,Historical,EV sales,Cars,BEV,2017,sales,13970
Korea,Historical,EV sales,Cars,PHEV,2017,sales,670
Korea,Historical,EV sales,Cars,PHEV,2018,sales,4367
Korea,Historical,EV sales,Cars,BEV,2018,sales,55486
Korea,Historical,EV sales,Cars,BEV,2019,sales,33423
Korea,Historical,EV sales,Cars,PHEV,2019,sales,2730
Korea,Historical,EV sales,Cars,PHEV,2020,sales,8743
Korea,Historical,EV sales,Cars,BEV,2020,sales,31329
Korea,Historical,EV sales,Cars,BEV,2021,sales,71517
Korea,Historical,EV sales,Cars,PHEV,2021,sales,19029
Mexico,Historical,EV sales,Cars,BEV,2011,sales,3
Mexico,Historical,EV sales,Cars,BEV,2012,sales,88
Mexico,Historical,EV sales,Cars,BEV,2013,sales,12
Mexico,Historical,EV sales,Cars,BEV,2014,sales,48
Mexico,Historical,EV sales,Cars,BEV,2015,sales,92
Mexico,Historical,EV sales,Cars,PHEV,2015,sales,7
Mexico,Historical,EV sales,Cars,PHEV,2016,sales,521
Mexico,Historical,EV sales,Cars,BEV,2016,sales,254
Mexico,Historical,EV sales,Cars,BEV,2017,sales,234
Mexico,Historical,EV sales,Cars,PHEV,2017,sales,968
Mexico,Historical,EV sales,Cars,PHEV,2018,sales,1584
Mexico,Historical,EV sales,Cars,BEV,2018,sales,201
Mexico,Historical,EV sales,Cars,BEV,2019,sales,268
Mexico,Historical,EV sales,Cars,PHEV,2019,sales,452
Mexico,Historical,EV sales,Cars,PHEV,2020,sales,610
Mexico,Historical,EV sales,Cars,BEV,2020,sales,1906
Mexico,Historical,EV sales,Cars,BEV,2021,sales,3283
Mexico,Historical,EV sales,Cars,PHEV,2021,sales,1007
Netherlands,Historical,EV sales,Cars,BEV,2010,sales,120
Netherlands,Historical,EV sales,Cars,BEV,2011,sales,858
Netherlands,Historical,EV sales,Cars,PHEV,2011,sales,17
Netherlands,Historical,EV sales,Cars,PHEV,2012,sales,4331
Netherlands,Historical,EV sales,Cars,BEV,2012,sales,786
Netherlands,Historical,EV sales,Cars,BEV,2013,sales,2251
Netherlands,Historical,EV sales,Cars,PHEV,2013,sales,20164
Netherlands,Historical,EV sales,Cars,PHEV,2014,sales,12425
Netherlands,Historical,EV sales,Cars,BEV,2014,sales,2664
Netherlands,Historical,EV sales,Cars,BEV,2015,sales,2543
Netherlands,Historical,EV sales,Cars,PHEV,2015,sales,41226
Netherlands,Historical,EV sales,Cars,PHEV,2016,sales,18619
Netherlands,Historical,EV sales,Cars,BEV,2016,sales,4054
Netherlands,Historical,EV sales,Cars,BEV,2017,sales,9194
Netherlands,Historical,EV sales,Cars,PHEV,2017,sales,1130
Netherlands,Historical,EV sales,Cars,PHEV,2018,sales,3536
Netherlands,Historical,EV sales,Cars,BEV,2018,sales,24434
Netherlands,Historical,EV sales,Cars,BEV,2019,sales,62004
Netherlands,Historical,EV sales,Cars,PHEV,2019,sales,5518
Netherlands,Historical,EV sales,Cars,PHEV,2020,sales,15933
Netherlands,Historical,EV sales,Cars,BEV,2020,sales,72299
Netherlands,Historical,EV sales,Cars,BEV,2021,sales,63153
Netherlands,Historical,EV sales,Cars,PHEV,2021,sales,30771
New Zealand,Historical,EV sales,Cars,BEV,2010,sales,10
New Zealand,Historical,EV sales,Cars,BEV,2011,sales,13
New Zealand,Historical,EV sales,Cars,PHEV,2011,sales,2
