Date,temp,precip,windspeed
2019-11-23,1.1,0.1,14.6
2019-11-24,1.2,1.18,14.6
2019-11-25,0.3,0.0,9.0
2019-11-26,-5.3,0.0,15.6
2019-11-27,-8.8,0.05,17.1
2019-11-28,-8.9,3.46,22.0
2019-11-29,-10.5,0.27,24.5
2019-11-30,-7.4,0.0,29.2
2019-12-01,-4.1,0.0,36.6
2019-12-02,-0.8,0.0,35.0
2019-12-03,-2.0,0.67,25.5
2019-12-04,4.4,3.68,24.6
2019-12-05,2.3,0.11,21.0
2019-12-06,-2.8,0.0,18.3
2019-12-07,-5.3,0.0,11.1
2019-12-08,-11.7,0.0,12.5
2019-12-09,-6.2,0.03,23.0
2019-12-10,-11.4,0.0,20.4
2019-12-11,-1.3,7.0,46.5
2019-12-12,1.3,0.09,24.6
2019-12-13,0.8,3.15,19.5
2019-12-14,1.0,0.29,16.7
2019-12-15,0.4,4.58,21.0
2019-12-16,-0.5,2.6,7.6
2019-12-17,-2.7,0.0,6.1
2019-12-18,-12.0,0.0,5.2
2019-12-19,-12.5,0.0,4.7
2019-12-20,-8.2,2.19,8.5
2019-12-21,-2.6,1.29,3.7
2019-12-22,-0.5,1.12,7.6
2019-12-23,-0.8,2.75,10.0
2019-12-24,-2.8,0.0,4.8
2019-12-25,-2.6,0.02,7.5
2019-12-26,-2.5,1.36,13.6
2019-12-27,-9.8,0.0,13.6
2019-12-28,-6.2,0.94,30.7
2019-12-29,-0.3,9.34,26.2
2019-12-30,2.3,0.0,25.8
2019-12-31,-3.1,0.0,22.9
2020-01-01,-0.1,2.34,19.8
2020-01-02,4.8,0.01,32.8
2020-01-03,2.2,0.0,30.7
2020-01-04,-2.5,0.87,46.9
2020-01-05,-6.0,4.3,24.5
2020-01-06,-1.7,0.1,15.6
2020-01-07,0.8,0.0,25.6
2020-01-08,2.6,3.0,34.1
2020-01-09,1.7,0.0,29.4
2020-01-10,-2.2,0.0,17.2
2020-01-11,-1.2,0.1,25.0
2020-01-12,0.5,0.0,27.7
2020-01-13,-1.7,0.0,17.3
2020-01-14,0.2,0.96,33.0
2020-01-15,-1.8,0.0,13.7
2020-01-16,-7.0,0.12,13.1
2020-01-17,-8.3,0.0,11.0
2020-01-18,-6.5,6.89,22.9
2020-01-19,-5.6,0.87,25.5
2020-01-20,0.6,0.2,20.0
2020-01-21,2.6,0.0,41.3
2020-01-22,-2.3,0.28,30.2
2020-01-23,-3.1,3.97,24.6
2020-01-24,-1.1,0.0,29.2
2020-01-25,-9.1,0.0,25.4
2020-01-26,-12.0,0.0,11.1
2020-01-27,-11.6,5.56,17.4
2020-01-28,-7.4,12.16,16.1
2020-01-29,-8.3,2.56,12.2
2020-01-30,-4.1,7.16,19.8
2020-01-31,-2.6,7.63,35.4
2020-02-01,-1.2,14.56,41.5
2020-02-02,-3.6,1.16,21.9
2020-02-03,-7.0,0.0,35.3
2020-02-04,-15.4,0.38,16.7
2020-02-05,-12.4,0.0,31.6
2020-02-06,-8.2,0.0,29.0
2020-02-07,-8.1,0.58,19.8
2020-02-08,-3.8,0.0,12.2
2020-02-09,-1.5,1.45,40.1
2020-02-10,1.2,7.64,38.0
2020-02-11,0.9,0.58,15.7
2020-02-12,-3.9,0.0,14.5
2020-02-13,-8.5,0.0,10.9
2020-02-14,-11.3,0.0,7.4
2020-02-15,-5.1,1.62,15.9
2020-02-16,-3.4,6.58,47.4
2020-02-17,0.0,1.82,16.2
2020-02-18,-2.7,0.02,20.4
2020-02-19,-5.8,2.3,22.3
2020-02-20,-9.1,0.0,36.6
2020-02-21,0.5,1.5,39.2
2020-02-22,1.2,0.01,25.6
2020-02-23,0.3,0.0,31.8
2020-02-24,0.2,0.0,43.0
2020-02-25,-8.2,0.0,19.5
2020-02-26,-12.2,0.0,9.9
2020-02-27,-14.5,0.0,12.0
2020-02-28,-12.9,0.0,8.4
2020-02-29,-11.8,8.35,7.6
2020-03-01,-8.6,2.63,12.1
2020-03-02,-11.3,0.0,15.9
2020-03-03,-10.9,0.0,13.5
2020-03-04,-7.6,0.68,21.2
2020-03-05,-4.0,7.67,16.0
2020-03-06,-6.1,0.38,25.4
2020-03-07,-3.1,0.0,13.7
2020-03-08,-0.2,0.52,41.6
2020-03-09,2.8,0.0,30.6
2020-03-10,0.1,0.0,17.1
2020-03-11,-0.1,0.96,14.5
2020-03-12,0.4,3.26,18.9
2020-03-13,-4.5,0.01,34.5
2020-03-14,-5.7,0.0,27.1
2020-03-15,-1.3,0.0,26.1
2020-03-16,0.2,0.49,35.3
2020-03-17,0.5,0.28,28.1
2020-03-18,2.6,0.0,24.0
2020-03-19,-2.9,0.0,23.4
2020-03-20,-5.1,0.0,22.4
2020-03-21,-4.7,0.0,19.5
2020-03-22,-2.9,0.0,27.2
2020-03-23,0.6,0.0,29.3
2020-03-24,3.3,0.0,20.0
2020-03-25,4.9,0.47,27.0
2020-03-26,3.5,0.0,19.7
2020-03-27,5.0,0.0,17.2
2020-03-28,0.4,0.0,46.8
2020-03-29,-4.0,0.0,29.1
2020-03-30,-4.9,0.0,25.4
2020-03-31,1.1,2.38,39.0
2020-04-01,-1.2,0.28,28.0
2020-04-02,-4.5,2.04,17.2
2020-04-03,-3.0,0.0,26.5
2020-04-04,-3.9,0.0,25.6
2020-04-05,-2.7,0.0,28.2
2020-04-06,-0.7,0.0,25.7
2020-04-07,2.5,0.0,23.0
2020-04-08,4.9,0.0,26.6
2020-04-09,2.4,0.0,30.4
2020-04-10,0.2,0.0,24.4
2020-04-11,-0.4,0.0,21.9
2020-04-12,0.0,9.11,40.0
2020-04-13,0.0,9.54,36.8
2020-04-14,1.2,0.0,31.8
2020-04-15,0.4,2.75,18.1
2020-04-16,1.7,0.19,25.2
2020-04-17,2.8,0.0,40.9
2020-04-18,3.3,0.0,31.8
2020-04-19,4.6,0.0,22.8
2020-04-20,6.4,0.0,32.6
2020-04-21,7.0,0.0,18.0
2020-04-22,3.4,0.0,20.7
2020-04-23,2.5,0.0,11.1
2020-04-24,2.7,0.1,20.0
2020-04-25,2.7,0.0,35.3
2020-04-26,2.8,0.29,23.3
2020-04-27,1.5,0.0,13.5
2020-04-28,1.1,0.0,15.0
2020-04-29,1.1,0.01,13.7
2020-04-30,1.2,0.0,19.3
2020-05-01,1.7,0.0,18.1
2020-05-02,2.5,2.22,21.0
2020-05-03,4.2,0.04,11.0
2020-05-04,6.1,0.0,18.1
2020-05-05,5.9,0.0,26.6
2020-05-06,6.9,0.0,30.4
2020-05-07,5.3,0.0,33.8
2020-05-08,2.6,0.01,19.4
2020-05-09,4.5,0.45,21.8
2020-05-10,2.1,3.74,24.4
2020-05-11,3.2,0.0,31.7
2020-05-12,2.7,0.02,18.6
2020-05-13,3.5,0.0,21.9
2020-05-14,4.1,0.0,20.4
2020-05-15,3.6,0.0,19.5
2020-05-16,3.8,0.03,23.0
2020-05-17,5.3,0.0,22.1
2020-05-18,4.8,0.58,19.3
2020-05-19,4.3,1.42,18.0
2020-05-20,5.7,0.0,13.5
2020-05-21,7.1,0.0,17.0
2020-05-22,7.1,0.0,24.4
2020-05-23,8.7,0.0,27.7
2020-05-24,10.4,0.0,19.4
2020-05-25,13.0,0.0,18.1
2020-05-26,13.1,0.0,17.1
2020-05-27,13.5,1.3,26.9
2020-05-28,11.3,0.0,25.5
2020-05-29,11.6,0.0,27.8
2020-05-30,12.0,0.0,19.3
2020-05-31,13.2,0.0,21.0
2020-06-01,16.1,0.0,18.0
2020-06-02,13.6,1.93,20.8
2020-06-03,12.8,6.58,10.0
2020-06-04,15.2,0.0,13.5
2020-06-05,13.7,2.2,18.4
2020-06-06,13.4,4.28,25.9
2020-06-07,10.0,11.4,40.2
2020-06-08,13.6,0.97,27.6
2020-06-09,12.6,0.0,21.9
2020-06-10,14.4,0.0,16.0
2020-06-11,17.0,0.0,21.8
2020-06-12,15.3,0.0,19.3
2020-06-13,16.6,0.0,21.9
2020-06-14,18.7,0.0,26.7
2020-06-15,19.8,0.0,19.4
2020-06-16,15.5,0.0,15.5
2020-06-17,17.4,0.0,15.5
2020-06-18,16.5,27.49,17.0
2020-06-19,17.1,0.0,19.6
2020-06-20,16.7,0.0,12.5
2020-06-21,17.2,0.0,18.1
2020-06-22,20.8,0.0,17.1
2020-06-23,21.1,0.0,13.5
2020-06-24,22.7,0.0,24.4
2020-06-25,21.8,0.77,14.5
2020-06-26,21.3,0.0,21.8
2020-06-27,17.0,0.0,16.8
2020-06-28,15.9,0.0,17.1
2020-06-29,16.9,3.01,28.6
2020-06-30,16.2,0.5,28.6
2020-07-01,13.5,0.1,29.0
2020-07-02,13.1,0.0,23.4
2020-07-03,11.8,23.47,23.6
2020-07-04,10.6,14.96,20.3
2020-07-05,11.2,1.37,31.4
2020-07-06,11.2,1.62,15.2
2020-07-07,13.2,1.38,15.5
2020-07-08,13.8,0.08,18.0
2020-07-09,13.9,0.27,20.7
2020-07-10,12.9,14.99,19.4
2020-07-11,14.2,0.28,16.0
2020-07-12,14.7,0.16,18.1
2020-07-13,13.5,28.11,14.5
2020-07-14,13.9,0.32,12.5
2020-07-15,15.0,0.0,18.1
2020-07-16,16.8,0.0,19.4
2020-07-17,17.3,0.0,22.0
2020-07-18,18.9,0.0,17.0
2020-07-19,17.4,0.0,24.5
2020-07-20,17.6,0.0,19.4
2020-07-21,17.6,0.29,19.3
2020-07-22,13.9,18.34,32.8
2020-07-23,13.5,58.8,32.8
2020-07-24,14.5,3.17,20.9
2020-07-25,13.9,7.08,32.8
2020-07-26,14.7,0.0,19.4
2020-07-27,16.9,0.0,22.0
2020-07-28,16.3,2.17,9.9
2020-07-29,16.9,4.56,17.3
2020-07-30,15.4,8.8,17.5
2020-07-31,16.3,0.0,13.6
2020-08-01,15.8,1.81,14.5
2020-08-02,15.5,0.01,11.0
2020-08-03,14.7,0.0,13.4
2020-08-04,14.9,0.74,16.1
2020-08-05,16.2,0.76,18.3
2020-08-06,16.1,0.0,17.1
2020-08-07,18.1,0.18,18.0
2020-08-08,18.2,0.0,20.9
2020-08-09,18.5,0.0,33.9
2020-08-10,15.2,0.0,20.8
2020-08-11,14.7,0.0,17.0
2020-08-12,15.3,2.82,22.0
2020-08-13,14.5,0.0,20.9
2020-08-14,18.3,0.01,19.3
2020-08-15,17.8,0.0,24.1
2020-08-16,14.9,0.0,32.8
2020-08-17,12.6,0.0,26.9
2020-08-18,12.0,0.0,15.6
2020-08-19,15.5,0.0,16.1
2020-08-20,16.2,0.66,14.6
2020-08-21,16.7,0.01,27.0
2020-08-22,16.8,0.37,35.0
2020-08-23,16.5,0.04,22.0
2020-08-24,12.8,0.0,20.9
2020-08-25,11.4,0.2,25.7
2020-08-26,9.8,16.98,14.6
2020-08-27,10.3,0.0,20.8
2020-08-28,10.0,0.0,17.1
2020-08-29,12.8,0.0,19.3
2020-08-30,11.7,0.02,20.9
2020-08-31,11.2,0.0,17.8
2020-09-01,10.6,0.0,14.6
2020-09-02,12.7,0.0,25.5
2020-09-03,13.4,0.19,24.4
2020-09-04,14.6,13.94,25.5
2020-09-05,14.0,4.51,31.8
2020-09-06,12.3,0.06,14.6
2020-09-07,12.1,0.0,17.0
2020-09-08,12.6,0.47,27.7
2020-09-09,11.4,0.02,23.0
