Date,Auction Price €/tCO2
2020-08-27,28.03
2020-09-01,28.28
2020-09-07,26.9
2020-09-08,27.25
2020-09-09,26.02
2020-09-10,27.46
2020-09-14,28.66
2020-09-15,29.99
2020-09-17,29.1
2020-09-21,27.12
2020-09-22,26.75
2020-09-24,26.28
2020-09-28,26.28
2020-09-29,27.09
2020-10-01,26.41
2020-10-05,26.79
2020-10-06,26.68
2020-10-08,26.4
2020-10-12,25.54
2020-10-13,25.3
2020-10-15,25.15
2020-10-19,24.85
2020-10-20,24.44
2020-10-22,23.6
2020-10-26,24.33
2020-10-27,23.55
2020-10-29,23.07
2020-11-02,23.02
2020-11-03,24.4
2020-11-04,23.83
2020-11-05,25.55
2020-11-09,25.41
2020-11-10,26.47
2020-11-12,25.9
2020-11-16,26.67
2020-11-17,27.12
2020-11-19,26.72
2020-11-23,27.25
2020-11-24,26.97
2020-11-26,27.77
2020-11-30,28.82
2020-12-01,29.24
2020-12-03,29.1
2020-12-07,29.49
2020-12-08,29.69
2020-12-10,30.04
2020-12-14,30.92
2021-02-01,32.66
2021-02-02,33.2
2021-02-04,36.51
2021-02-08,38.62
2021-02-09,37.58
2021-02-11,39.62
2021-02-15,39.82
2021-02-16,40.19
2021-02-18,38.01
2021-02-22,36.84
2021-02-23,37.5
2021-02-25,38.88
2021-03-01,37.66
2021-03-02,37.25
2021-03-04,36.9
2021-03-08,38.41
2021-03-09,39.4
2021-03-11,40.92
2021-03-15,42.84
2021-03-16,41.92
2021-03-17,41.9
2021-03-18,43.35
2021-03-22,41.8
2021-03-23,41.77
2021-03-25,40.69
2021-03-29,40.71
2021-03-30,42.25
2021-04-01,42.04
2021-04-06,43.05
2021-04-08,43.45
2021-04-12,43.86
2021-04-13,44.1
2021-04-15,43.99
2021-04-19,44.66
2021-04-20,44.2
2021-04-22,46.6
2021-04-26,47.24
2021-04-27,46.55
2021-04-29,47.25
2021-05-04,49.33
2021-05-06,49.45
2021-05-10,51.81
2021-05-11,51.59
2021-05-12,54.22
2021-05-17,55.57
2021-05-18,55.53
2021-05-20,50.84
2021-05-25,53.09
2021-05-27,52.11
2021-06-01,52.58
2021-06-03,51.9
2021-06-07,48.56
2021-06-08,52.03
2021-06-10,53.3
2021-06-14,53.6
2021-06-15,51.18
2021-06-17,50.84
2021-06-21,52.09
2021-06-22,52.97
2021-06-24,54.85
2021-06-28,55.06
2021-06-29,55.39
2021-07-01,58.01
2021-07-05,57.91
2021-07-06,57.15
2021-07-07,53.15
2021-07-08,51.09
2021-07-12,52.5
2021-07-13,52.44
2021-07-15,52.28
2021-07-19,53.55
2021-07-20,51.74
2021-07-22,51.44
2021-07-26,51.79
2021-07-27,52.8
2021-07-29,54.02
2021-08-02,54.6
2021-08-03,54.17
2021-08-05,54.84
2021-08-09,56.0
2021-08-10,57.1
2021-08-12,57.36
2021-08-16,57.18
2021-08-17,57.4
2021-08-19,55.81
2021-08-23,55.95
2021-08-24,55.72
2021-08-26,55.61
2021-08-31,60.11
2021-09-06,62.87
2021-09-07,61.71
2021-09-09,61.98
2021-09-13,61.91
2021-09-14,61.51
2021-09-15,60.0
2021-09-16,59.89
2021-09-20,58.56
2021-09-21,60.31
2021-09-23,59.45
2021-09-27,64.0
2021-09-28,65.0
2021-09-30,61.37
2021-10-04,63.56
2021-10-05,63.66
2021-10-07,58.99
2021-10-11,59.33
2021-10-12,58.86
2021-10-14,59.43
2021-10-18,58.85
2021-10-19,57.58
2021-10-21,57.1
2021-10-25,58.94
2021-10-26,58.96
2021-10-28,58.93
2021-11-01,59.98
2021-11-02,57.8
2021-11-04,59.81
2021-11-08,60.06
2021-11-09,60.11
2021-11-10,61.53
2021-11-11,62.31
2021-11-15,64.4
2021-11-16,67.5
2021-11-18,66.51
2021-11-22,69.7
2021-11-23,69.88
2021-11-25,72.15
2021-11-29,74.48
2021-11-30,74.82
2021-12-02,77.1
2021-12-06,80.0
2021-12-07,82.87
2021-12-09,84.93
2021-12-13,85.0
2021-12-14,79.99
2021-12-16,80.5
2021-12-20,74.57
2022-01-10,82.71
2022-01-11,81.9
2022-01-13,79.05
2022-01-17,80.21
2022-01-18,79.22
2022-01-20,80.8
2022-01-24,85.75
2022-01-25,84.48
2022-01-27,88.51
2022-01-31,88.03
2022-02-03,92.65
2022-02-07,93.5
2022-02-08,97.51
2022-02-09,96.53
2022-02-10,90.6
2022-02-14,90.73
2022-02-15,90.35
2022-02-17,87.5
2022-02-21,87.99
2022-02-22,88.4
2022-02-24,88.0
2022-02-28,80.92
2022-03-01,79.96
2022-03-03,63.87
2022-03-07,57.91
2022-03-08,62.01
2022-03-10,70.04
2022-03-14,78.6
2022-03-15,75.55
2022-03-17,76.87
2022-03-21,77.76
2022-03-22,79.05
2022-03-24,76.15
2022-03-28,80.76
2022-03-29,80.51
2022-03-31,79.25
2022-04-04,77.5
2022-04-05,78.33
2022-04-06,78.34
2022-04-07,77.13
2022-04-11,79.02
2022-04-12,77.36
2022-04-14,78.8
2022-04-19,79.4
2022-04-21,85.9
2022-04-25,85.81
2022-04-26,83.43
2022-04-28,80.55
2022-05-02,82.84
2022-05-03,84.25
2022-05-05,87.8
2022-05-09,90.11
2022-05-10,86.5
2022-05-12,86.95
2022-05-16,88.81
2022-05-17,90.33
2022-05-19,82.28
2022-05-23,78.96
2022-05-24,78.88
2022-05-30,83.75
2022-05-31,83.63
2022-06-07,81.69
2022-06-09,80.21
2022-06-13,80.1
2022-06-14,82.31
2022-06-15,84.45
2022-06-16,85.95
2022-06-20,83.51
2022-06-21,84.26
